Date,Centre_Name,Commodity_Name,Price
21-01-09,SHILLONG,Onion,NA
21-01-09,AIZWAL,Onion,NA
21-01-09,KOHIMA,Onion,NA
21-01-09,AGARTALA,Onion,NA
21-01-09,BENGALURU,Onion,1600
21-01-09,T.PURAM,Onion,NA
21-01-09,CHENNAI,Onion,NA
21-01-09,HYDERABAD,Onion,NA
22-01-09,CHANDIGARH,Onion,NA
22-01-09,DELHI,Onion,1125
22-01-09,SHIMLA,Onion,NA
22-01-09,SRINAGAR,Onion,NA
22-01-09,JAMMU,Onion,NA
22-01-09,AMRITSAR,Onion,1600
22-01-09,LUDHIANA,Onion,2000
22-01-09,LUCKNOW,Onion,NA
22-01-09,DEHRADUN,Onion,NA
22-01-09,RAIPUR,Onion,NA
22-01-09,AHMEDABAD,Onion,NA
22-01-09,BHOPAL,Onion,NA
22-01-09,MUMBAI,Onion,NA
22-01-09,JAIPUR,Onion,1300
22-01-09,PATNA,Onion,NA
22-01-09,RANCHI,Onion,NA
22-01-09,BHUBANESHWAR,Onion,1800
22-01-09,KOLKATA,Onion,NA
22-01-09,GUWAHATI,Onion,NA
22-01-09,SHILLONG,Onion,NA
22-01-09,AIZWAL,Onion,NA
22-01-09,KOHIMA,Onion,NA
22-01-09,AGARTALA,Onion,NA
22-01-09,BENGALURU,Onion,1600
22-01-09,T.PURAM,Onion,NA
22-01-09,CHENNAI,Onion,1600
22-01-09,HYDERABAD,Onion,NA
23-01-09,CHANDIGARH,Onion,NA
23-01-09,DELHI,Onion,1137
23-01-09,SHIMLA,Onion,NA
23-01-09,SRINAGAR,Onion,NA
23-01-09,JAMMU,Onion,NA
23-01-09,AMRITSAR,Onion,1600
23-01-09,LUDHIANA,Onion,2000
23-01-09,LUCKNOW,Onion,NA
23-01-09,DEHRADUN,Onion,NA
23-01-09,RAIPUR,Onion,NA
23-01-09,AHMEDABAD,Onion,NA
23-01-09,BHOPAL,Onion,NA
23-01-09,MUMBAI,Onion,NA
23-01-09,JAIPUR,Onion,NA
23-01-09,PATNA,Onion,NA
23-01-09,RANCHI,Onion,NA
23-01-09,BHUBANESHWAR,Onion,NA
23-01-09,KOLKATA,Onion,NA
23-01-09,GUWAHATI,Onion,NA
23-01-09,SHILLONG,Onion,NA
23-01-09,AIZWAL,Onion,NA
23-01-09,KOHIMA,Onion,NA
23-01-09,AGARTALA,Onion,NA
23-01-09,BENGALURU,Onion,NA
23-01-09,T.PURAM,Onion,NA
23-01-09,CHENNAI,Onion,1600
23-01-09,HYDERABAD,Onion,NA
27-01-09,CHANDIGARH,Onion,NA
27-01-09,DELHI,Onion,1087
27-01-09,SHIMLA,Onion,NA
27-01-09,SRINAGAR,Onion,NA
27-01-09,JAMMU,Onion,NA
27-01-09,AMRITSAR,Onion,1600
27-01-09,LUDHIANA,Onion,2000
27-01-09,LUCKNOW,Onion,NA
27-01-09,DEHRADUN,Onion,NA
27-01-09,RAIPUR,Onion,NA
27-01-09,AHMEDABAD,Onion,NA
27-01-09,BHOPAL,Onion,NA
27-01-09,MUMBAI,Onion,NA
27-01-09,JAIPUR,Onion,NA
27-01-09,PATNA,Onion,NA
27-01-09,RANCHI,Onion,NA
27-01-09,BHUBANESHWAR,Onion,1800
27-01-09,KOLKATA,Onion,NA
27-01-09,GUWAHATI,Onion,NA
27-01-09,SHILLONG,Onion,NA
27-01-09,AIZWAL,Onion,NA
27-01-09,KOHIMA,Onion,NA
27-01-09,AGARTALA,Onion,NA
27-01-09,BENGALURU,Onion,1600
27-01-09,T.PURAM,Onion,NA
27-01-09,CHENNAI,Onion,NA
27-01-09,HYDERABAD,Onion,NA
28-01-09,CHANDIGARH,Onion,NA
28-01-09,DELHI,Onion,1000
28-01-09,SHIMLA,Onion,NA
28-01-09,SRINAGAR,Onion,NA
28-01-09,JAMMU,Onion,NA
28-01-09,AMRITSAR,Onion,1600
